Timestamp,Franklin BBQ,Home Slice Pizza,The Jackalope,Tacodeli,Hopdoddy Burger Bar,HandleBar,Salty Sow,Moonshine Patio Bar & Grill,Torchy's Tacos,Rio Rita,Uchi,Mozart's Coffee Roasters,Jo's Coffee,Uchiko,Houndstooth Coffee,Summermoon Coffee Bar,Cactus Cafe,Dominican Joe,Icenhauer's,Clive Bar,Anderson Mill Tavern,Continental Club,Kerbey Lane Café,Donn's Depot,Bennu Coffee,Jack Allen's Kitchen,East Side King @ Liberty Bar,Bufalina,The White Horse,BuzzMill Coffee,Bouldin Creek Cafe,Via 313 Pizza,Magnolia Cafe,Did I leave anything else? Where do you love to take friends from out of town?,Anything else?,Your name
11/12/2014 9:24:46,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,,,
11/12/2014 9:25:42,Never heard of it / Never been there,Yes,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,No,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Yes,Never heard of it / Never been there,Yes,Yes,Yes,Never heard of it / Never been there,Yes,,,
11/12/2014 9:25:50,Yes,Yes,No,Yes,Yes,Never heard of it / Never been there,Yes,Yes,Yes,Never heard of it / Never been there,Yes,Yes,Yes,Yes,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,No,No,Never heard of it / Never been there,Yes,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"contigo, kome, ginny's little longhorn, the draughthouse",,
11/12/2014 9:25:59,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,No,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,No,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,No,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Yes,"Honestly, we like to take guests to Rudy's for quick and easy BBQ. Sure, its not the best but for out of towners it is and it's a good opener...then later we take them to Black's in Lockhart. And if we're coming from the airport on the first day and they're hungry, Pappasitos and Pappadeaux are always up front impressive. And Chuys....because consistency and funky atmosphere. And for some reason, everyone who talks to someone on the plane says, ""OMG someone told me I have to go to Salt Lick!"" so if we can't steer them from away from that, we go there too, but that is definitely not our first choice for bbq. And if we're feeling swanky, we may do Bartlett's. Between you and me, one of my new favs is La Concina De Consuelo in Rosedale which I found via Yelp. But it's a small place damnit, so don't tell anyone! ;) ",,
11/12/2014 9:26:34,Yes,Yes,Yes,Yes,Yes,No,No,Never heard of it / Never been there,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Never heard of it / Never been there,Yes,No,Never heard of it / Never been there,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Foreign and Domestic, Odd Duck, Jacoby's, Sawery and Co, Dai Due.  And for the whole family, Salt Lick is a good day trip. ",,
11/12/2014 9:27:57,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Never heard of it / Never been there,No,No,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Yes,No,Yes,Yes,Never heard of it / Never been there,Yes,Yes,Yes,No,No,Yes,No,Foreign and domestic is my favorite restaurant . Weather up. And East side show room are great for cocktails. Contigo. Sway two other great restaurants.  Best coffee is Cafe medaci. Mozarts great for the view. ,,
11/12/2014 9:29:37,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Yes,No,Never heard of it / Never been there,Never heard of it / Never been there,Yes,No,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,No,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Yes,No,No,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Yes,,,
11/12/2014 9:29:56,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Never heard of it / Never been there,No,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,No,,,
11/12/2014 9:30:17,Yes,Never heard of it / Never been there,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/2014 9:30:36,Yes,Yes,,Yes,Yes,,,,Yes,,Yes,Yes,,Yes,,,Yes,,,,,,Yes,,,,,,,,,,,,,
