First Rank,Name,Count Yes,Count No,Count Don't Know,Count No Response,Total Responses,Percent Yes,Percent No,Percent Don't Know,Yes Rank
16,Summermoon Coffee Bar,80,84,539,5,708,11.3,11.9,76.8,87
95,Hey!... You Gonna Eat or What?,23,4,175,3,205,11.2,2.0,86.8,88
81,Genuine Joe,22,5,178,0,205,10.7,2.4,86.8,89
82,Pieous,21,1,183,0,205,10.2,0.5,89.3,90
72,Fabi + Rosi,21,5,179,0,205,10.2,2.4,87.3,91
99,Third Coast Coffee Roasting Company,20,4,181,0,205,9.8,2.0,88.3,92
39,The Red Room Lounge,18,8,179,0,205,8.8,3.9,87.3,93
93,Patika Coffee,18,8,178,1,205,8.8,3.9,87.3,94
56,Vintage Heart Coffee,16,13,174,2,205,7.8,6.3,85.9,95
98,Sonora Hot Dogs,14,5,185,1,205,6.8,2.4,90.7,97
78,One-2-One Bar,14,14,177,0,205,6.8,6.8,86.3,96
63,Brass House,13,7,185,0,205,6.3,3.4,90.2,98
58,Irie Bean Coffee Bar,13,11,180,1,205,6.3,5.4,88.3,99
46,Skylark Lounge,8,3,193,1,205,3.9,1.5,94.6,100
103,Donut 7,8,6,189,2,205,3.9,2.9,93.2,101
94,Bar Ilegal,5,8,191,1,205,2.4,3.9,93.7,102
21,Anderson Mill Tavern,16,93,595,4,708,2.3,13.1,84.6,103
